name,team,position,season,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface,fantasy_points_ppr
Hayden Hurst,CAR,TE,2023,9,18,32,184.0,20.44,1,10.22,0.0,0,0.11,0.12,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,318.0,630.0,1.0,25.0,Bank of America Stadium,moderate,Grass,42.4
Hunter Henry,NE,TE,2023,13,42,61,419.0,32.23,6,9.98,1.0,0,0.15,0.19,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.14,0.0,0.0,0,618.0,819.0,2.0,35.0,Gillette Stadium,cold,FieldTurf,119.9
Hunter Luepke,DAL,RB,2023,6,3,4,18.0,3.0,0,6.0,0.0,0,0.02,0.0,6,19.0,3.17,1,0.17,0.0,0,0,0,0.0,0.0,0.0,0,0,0.11,0.0,0.0,0,48.0,412.0,0.0,0.0,AT&T Stadium,indoor,FieldTurf,12.7
Hunter Renfrow,LV,WR,2023,13,25,37,255.0,19.62,0,10.2,1.0,0,0.09,0.07,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,326.0,783.0,5.0,149.0,Allegiant Stadium,indoor,Grass,48.5
Ian Thomas,CAR,TE,2023,7,5,9,56.0,8.0,0,11.2,0.0,0,0.05,0.07,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,151.0,479.0,4.0,101.0,Bank of America Stadium,moderate,Grass,10.6
Ihmir Smith-Marsette,CAR,WR,2023,7,8,10,51.0,7.29,0,6.38,0.0,0,0.06,-0.0,8,74.0,10.57,1,0.12,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,94.0,451.0,5.0,157.0,Bank of America Stadium,moderate,Grass,32.5
Irv Smith,CIN,TE,2023,9,18,26,115.0,12.78,1,6.39,1.0,0,0.08,0.05,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,0.0,0.0,2.0,50.0,Paul Brown Stadium,cold,FieldTurf,33.5
Irvin Charles,NYJ,WR,2023,1,0,1,0.0,0.0,0,0.0,0.0,0,0.06,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,16.0,64.0,0.0,0.0,MetLife Stadium,cold,FieldTurf,0.0
Isaiah Hodgins,NYG,WR,2023,14,21,33,230.0,16.43,3,10.95,1.0,0,0.08,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.14,0.0,0.0,0,418.0,895.0,6.0,207.0,MetLife Stadium,cold,FieldTurf,60.0
Isaiah Likely,BAL,TE,2023,13,30,40,411.0,31.62,5,13.7,0.0,0,0.11,0.08,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.17,0.0,0.0,0,435.0,879.0,4.0,139.0,M&T Bank Stadium,moderate,FieldTurf,101.1
