name,team,position,season,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface,fantasy_points_ppr
Jeff Driskel,CLE,QB,2023,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,33.0,33.0,0,0.0,0.0,0,13,26,0.5,166.0,166.0,2,0,0.06,2.0,3.0,0,53.0,53.0,6.0,207.0,FirstEnergy Stadium,cold,Grass,13.94
Jeremy Ruckert,NYJ,TE,2023,10,16,22,151.0,15.1,0,9.44,0.0,0,0.06,0.06,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,250.0,651.0,3.0,101.0,MetLife Stadium,cold,FieldTurf,31.1
Jerick McKinnon,KC,RB,2023,12,25,32,192.0,16.0,4,7.68,0.0,0,0.07,0.0,21,60.0,5.0,1,0.05,0.0,0,1,1,1.0,4.0,0.33,1,0,0.13,0.0,0.0,0,264.0,818.0,3.0,96.0,Arrowhead Stadium,cold,Grass,84.36
Jerome Ford,CLE,RB,2023,17,44,63,319.0,18.76,5,7.25,0.0,0,0.11,0.01,204,813.0,47.82,4,0.02,0.0,1,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,629.0,1247.0,5.0,156.0,FirstEnergy Stadium,cold,Grass,213.2
Jerry Jeudy,DEN,WR,2023,16,54,87,758.0,47.38,2,14.04,1.0,0,0.2,0.37,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,662.0,1018.0,1.0,15.0,Empower Field at Mile High,cold,Grass,141.8
Jesper Horsted,LV,TE,2023,1,1,1,4.0,4.0,0,4.0,0.0,0,0.02,0.01,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,5.0,63.0,0.0,0.0,Allegiant Stadium,indoor,Grass,1.4
Jimmy Garoppolo,LV,QB,2023,7,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,20,39.0,5.57,0,0.0,1.0,0,110,169,0.65,1205.0,172.14,7,1,0.04,9.0,14.0,0,325.0,412.0,2.0,62.0,Allegiant Stadium,indoor,Grass,64.1
Jimmy Graham,NO,TE,2023,5,6,7,39.0,7.8,4,6.5,0.0,0,0.05,0.05,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.67,0.0,0.0,0,64.0,317.0,3.0,95.0,Mercedes-Benz Superdome,indoor,FieldTurf,33.9
Joe Burrow,CIN,QB,2023,10,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,31,88.0,8.8,0,0.0,0.0,0,244,365,0.67,2309.0,230.9,15,0,0.04,6.0,24.0,2,602.0,641.0,1.0,1.0,Paul Brown Stadium,cold,FieldTurf,147.16
Joe Flacco,CLE,QB,2023,5,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9,2.0,0.4,0,0.0,1.0,0,123,204,0.6,1616.0,323.2,13,1,0.06,8.0,8.0,3,346.0,360.0,1.0,18.0,FirstEnergy Stadium,cold,Grass,100.84
Joe Mixon,CIN,RB,2023,17,52,64,376.0,22.12,3,7.23,0.0,1,0.11,-0.03,257,1034.0,60.82,9,0.04,0.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,752.0,1098.0,0.0,0.0,Paul Brown Stadium,cold,FieldTurf,267.0
John Bates,WAS,TE,2023,14,19,28,151.0,10.79,0,7.95,0.0,0,0.06,0.06,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,424.0,916.0,0.0,0.0,FedEx Field,moderate,Grass,34.1
John FitzPatrick,ATL,TE,2023,1,1,1,12.0,12.0,0,12.0,0.0,0,0.03,0.01,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,10.0,63.0,0.0,0.0,Mercedes-Benz Stadium,indoor,FieldTurf,2.2
Johnny Mundt,MIN,TE,2023,9,17,23,172.0,19.11,1,10.12,0.0,0,0.07,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,167.0,612.0,0.0,0.0,U.S. Bank Stadium,indoor,FieldTurf,40.2
Jonathan Mingo,CAR,WR,2023,15,43,85,418.0,27.87,0,9.72,1.0,0,0.19,0.26,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,909.0,1029.0,2.0,39.0,Bank of America Stadium,moderate,Grass,84.8
Jonathan Taylor,IND,RB,2023,10,19,23,153.0,15.3,1,8.05,0.0,0,0.08,-0.02,169,741.0,74.1,7,0.04,1.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,386.0,674.0,2.0,41.0,Lucas Oil Stadium,indoor,FieldTurf,156.4
Jonathan Ward,TEN,RB,2023,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,11.0,11.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3.0,60.0,0.0,0.0,Nissan Stadium,moderate,Grass,1.1
Jonathan Williams,WAS,RB,2023,1,0,1,0.0,0.0,0,0.0,0.0,0,0.03,0.0,1,-2.0,-2.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,13.0,60.0,5.0,156.0,FedEx Field,moderate,Grass,-0.2
Jonnu Smith,ATL,TE,2023,15,50,70,582.0,38.8,3,11.64,1.0,0,0.15,0.12,1,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,604.0,1021.0,3.0,100.0,Mercedes-Benz Stadium,indoor,FieldTurf,124.2
Jordan Addison,MIN,WR,2023,17,70,108,911.0,53.59,10,13.01,0.0,0,0.18,0.29,1,2.0,0.12,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.14,0.0,0.0,0,921.0,1132.0,1.0,23.0,U.S. Bank Stadium,indoor,FieldTurf,221.3
Jordan Akins,CLE,TE,2023,13,15,23,132.0,10.15,0,8.8,0.0,0,0.06,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,188.0,961.0,3.0,98.0,FirstEnergy Stadium,cold,Grass,28.2
Jordan Love,GB,QB,2023,17,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,247.0,14.53,4,0.08,4.0,0,372,579,0.64,4159.0,244.65,32,2,0.06,11.0,30.0,5,1083.0,1097.0,1.0,26.0,Lambeau Field,cold,Grass,319.06
Jordan Mason,SF,RB,2023,9,3,4,31.0,3.44,0,10.33,0.0,0,0.02,0.01,40,206.0,22.89,3,0.08,0.0,0,0,0,0.0,0.0,0.0,0,0,0.07,0.0,0.0,0,94.0,576.0,0.0,0.0,Levi's Stadium,moderate,Grass,44.7
Jordan Mims,NO,RB,2023,1,0,2,0.0,0.0,0,0.0,0.0,0,0.08,0.05,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3.0,75.0,0.0,0.0,Mercedes-Benz Superdome,indoor,FieldTurf,0.0
Josh Allen,BUF,QB,2023,17,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,111,524.0,30.82,15,0.14,4.0,0,385,579,0.66,4306.0,253.29,29,3,0.06,18.0,24.0,2,1126.0,1166.0,1.0,7.0,New Era Field,cold,FieldTurf,394.64
Josh Downs,IND,WR,2023,17,68,98,771.0,45.35,2,11.34,0.0,0,0.17,0.17,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.03,0.0,0.0,0,788.0,1158.0,3.0,79.0,Lucas Oil Stadium,indoor,FieldTurf,157.1
Josh Jacobs,LV,RB,2023,13,37,54,296.0,22.77,0,8.0,1.0,0,0.14,0.01,233,805.0,61.92,6,0.03,2.0,0,0,0,0.0,0.0,0.0,0,0,0.02,0.0,1.0,0,600.0,793.0,1.0,24.0,Allegiant Stadium,indoor,Grass,181.1
Josh Oliver,MIN,TE,2023,12,22,28,213.0,17.75,2,9.68,1.0,0,0.06,0.02,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.09,0.0,0.0,0,336.0,821.0,3.0,69.0,U.S. Bank Stadium,indoor,FieldTurf,53.3
Josh Palmer,LAC,WR,2023,10,38,61,581.0,58.1,2,15.29,1.0,0,0.18,0.25,1,6.0,0.6,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.05,0.0,0.0,0,525.0,710.0,0.0,0.0,Dignity Health Sports Park,warm,Grass,106.7
Josh Reynolds,DET,WR,2023,16,40,64,608.0,38.0,5,15.2,1.0,0,0.12,0.19,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.12,0.0,0.0,0,778.0,1116.0,4.0,117.0,Ford Field,indoor,FieldTurf,128.8
Josh Whyle,TEN,TE,2023,8,9,15,94.0,11.75,1,10.44,0.0,0,0.07,0.06,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.11,0.0,0.0,0,134.0,490.0,5.0,147.0,Nissan Stadium,moderate,Grass,24.4
Joshua Dobbs,MIN,QB,2023,5,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,163.0,32.6,3,0.1,3.0,0,95,151,0.63,895.0,179.0,5,1,0.04,5.0,13.0,2,319.0,350.0,4.0,135.0,U.S. Bank Stadium,indoor,FieldTurf,76.1
Joshua Kelley,LAC,RB,2023,17,8,12,32.0,1.88,0,4.0,0.0,0,0.02,0.0,107,405.0,23.82,2,0.02,1.0,0,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,392.0,1169.0,4.0,112.0,Dignity Health Sports Park,warm,Grass,61.7
Josiah Deguara,GB,TE,2023,4,8,8,65.0,16.25,0,8.12,0.0,0,0.07,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,83.0,239.0,3.0,94.0,Lambeau Field,cold,Grass,14.5
JuJu Smith-Schuster,NE,WR,2023,11,29,47,260.0,23.64,1,8.97,0.0,0,0.13,0.14,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.03,0.0,0.0,0,461.0,714.0,2.0,62.0,Gillette Stadium,cold,FieldTurf,61.0
Julian Hill,MIA,TE,2023,6,6,9,48.0,8.0,0,8.0,1.0,0,0.05,0.02,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,198.0,406.0,0.0,0.0,Hard Rock Stadium,warm,Grass,8.8
Julio Jones,PHI,WR,2023,8,11,19,74.0,9.25,3,6.73,0.0,0,0.08,0.06,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.27,0.0,0.0,0,189.0,519.0,1.0,6.0,Lincoln Financial Field,cold,Grass,36.4
Justice Hill,BAL,RB,2023,16,28,39,206.0,12.88,1,7.36,1.0,0,0.09,0.01,84,387.0,24.19,3,0.04,0.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,436.0,1061.0,4.0,113.0,M&T Bank Stadium,moderate,FieldTurf,109.3
Justin Fields,CHI,QB,2023,13,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,124,657.0,50.54,4,0.03,3.0,0,227,370,0.61,2562.0,197.08,16,0,0.04,9.0,44.0,7,829.0,862.0,1.0,11.0,Soldier Field,cold,Grass,230.18
Justin Herbert,LAC,QB,2023,13,1,1,10.0,0.77,0,10.0,0.0,0,0.0,-0.0,52,228.0,17.54,3,0.06,1.0,0,297,456,0.65,3134.0,241.08,20,1,0.05,7.0,29.0,3,838.0,875.0,1.0,6.0,Dignity Health Sports Park,warm,Grass,234.16
Justin Jefferson,MIN,WR,2023,10,68,100,1074.0,107.4,5,15.79,1.0,0,0.28,0.41,1,-12.0,-1.2,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0.07,0.0,0.0,0,550.0,650.0,1.0,22.0,U.S. Bank Stadium,indoor,FieldTurf,204.2
Justin Watson,KC,WR,2023,15,27,53,460.0,30.67,3,17.04,1.0,0,0.1,0.27,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.11,0.0,0.0,0,496.0,1006.0,0.0,0.0,Arrowhead Stadium,cold,Grass,89.0
Justyn Ross,KC,WR,2023,5,6,11,53.0,10.6,0,8.83,0.0,0,0.06,0.12,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,89.0,346.0,0.0,0.0,Arrowhead Stadium,cold,Grass,11.3
Juwan Johnson,NO,TE,2023,13,37,59,368.0,28.31,4,9.95,0.0,0,0.14,0.14,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.11,0.0,0.0,0,555.0,855.0,0.0,0.0,Mercedes-Benz Superdome,indoor,FieldTurf,97.8
Juwann Winfree,IND,WR,2023,1,0,1,0.0,0.0,0,0.0,0.0,0,0.03,0.09,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,9.0,70.0,0.0,0.0,Lucas Oil Stadium,indoor,FieldTurf,0.0
K.J. Osborn,MIN,WR,2023,15,48,75,540.0,36.0,3,11.25,1.0,0,0.14,0.16,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,788.0,1001.0,5.0,176.0,U.S. Bank Stadium,indoor,FieldTurf,120.0
Kadarius Toney,KC,WR,2023,13,27,38,169.0,13.0,1,6.26,1.0,0,0.08,0.03,11,31.0,2.38,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0.03,0.0,0.0,0,230.0,873.0,1.0,20.0,Arrowhead Stadium,cold,Grass,53.0
Kalif Raymond,DET,WR,2023,17,35,44,489.0,28.76,1,13.97,0.0,0,0.08,0.1,7,75.0,4.41,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,348.0,1187.0,0.0,0.0,Ford Field,indoor,FieldTurf,97.4
Kareem Hunt,CLE,RB,2023,15,15,21,84.0,5.6,0,5.6,0.0,0,0.04,-0.0,135,411.0,27.4,9,0.07,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,339.0,1082.0,3.0,86.0,FirstEnergy Stadium,cold,Grass,118.5
Kayshon Boutte,NE,WR,2023,3,2,7,19.0,6.33,0,9.5,0.0,0,0.06,0.18,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,92.0,218.0,6.0,187.0,Gillette Stadium,cold,FieldTurf,3.9
Keaton Mitchell,BAL,RB,2023,7,9,11,93.0,13.29,0,10.33,0.0,0,0.06,-0.0,47,396.0,56.57,2,0.04,0.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,135.0,482.0,0.0,0.0,M&T Bank Stadium,moderate,FieldTurf,69.9
Keelan Doss,LAC,WR,2023,2,6,13,33.0,16.5,0,5.5,0.0,0,0.17,0.17,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,78.0,149.0,0.0,0.0,Dignity Health Sports Park,warm,Grass,9.3
Keenan Allen,LAC,WR,2023,13,108,150,1243.0,95.62,7,11.51,2.0,0,0.31,0.42,2,6.0,0.46,0,0.0,0.0,0,1,2,0.5,49.0,3.77,1,0,0.07,0.0,0.0,0,779.0,881.0,3.0,76.0,Dignity Health Sports Park,warm,Grass,278.86
Keith Kirkwood,NO,WR,2023,7,5,9,37.0,5.29,1,7.4,0.0,0,0.04,0.04,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.2,0.0,0.0,0,132.0,470.0,0.0,0.0,Mercedes-Benz Superdome,indoor,FieldTurf,14.7
Kendre Miller,NO,RB,2023,7,10,11,117.0,16.71,0,11.7,0.0,0,0.05,-0.01,41,156.0,22.29,1,0.02,0.0,0,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,109.0,472.0,3.0,71.0,Mercedes-Benz Superdome,indoor,FieldTurf,43.3
Kendrick Bourne,NE,WR,2023,8,37,55,406.0,50.75,4,10.97,1.0,0,0.2,0.24,1,4.0,0.5,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.11,0.0,0.0,0,371.0,514.0,0.0,0.0,Gillette Stadium,cold,FieldTurf,100.0
Kene Nwangwu,MIN,RB,2023,3,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,13.0,4.33,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,13.0,220.0,0.0,0.0,U.S. Bank Stadium,indoor,FieldTurf,1.3
Kenneth Gainwell,PHI,RB,2023,16,30,37,183.0,11.44,0,6.1,0.0,0,0.07,0.02,84,364.0,22.75,2,0.02,3.0,1,1,1,1.0,17.0,1.06,0,0,0.02,0.0,0.0,0,442.0,1081.0,5.0,150.0,Lincoln Financial Field,cold,Grass,97.38
Kenneth Walker,SEA,RB,2023,15,29,37,259.0,17.27,1,8.93,0.0,0,0.08,-0.03,219,905.0,60.33,8,0.04,1.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,0.0,0.0,2.0,41.0,CenturyLink Field,moderate,FieldTurf,199.4
Kenny Pickett,PIT,QB,2023,12,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,42,54.0,4.5,1,0.02,2.0,0,201,324,0.62,2070.0,172.5,6,0,0.02,4.0,23.0,0,670.0,752.0,1.0,20.0,Heinz Field,cold,Grass,110.2
Kenny Yeboah,NYJ,TE,2023,2,2,4,28.0,14.0,0,14.0,0.0,0,0.05,0.06,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,48.0,163.0,0.0,0.0,MetLife Stadium,cold,FieldTurf,4.8
Kenyan Drake,GB,RB,2023,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,5.0,63.0,3.0,73.0,Lambeau Field,cold,Grass,0.0
Kevin Harris,NE,RB,2023,4,3,3,58.0,14.5,0,19.33,0.0,0,0.03,-0.0,16,65.0,16.25,1,0.06,0.0,0,0,0,0.0,0.0,0.0,0,0,0.05,0.0,0.0,0,34.0,221.0,6.0,183.0,Gillette Stadium,cold,FieldTurf,21.3
Kevin Rader,TEN,TE,2023,2,1,3,6.0,3.0,0,6.0,0.0,0,0.06,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,29.0,110.0,0.0,0.0,Nissan Stadium,moderate,Grass,1.6
KhaDarel Hodge,ATL,WR,2023,13,14,23,232.0,17.85,0,16.57,0.0,0,0.06,0.09,1,0.0,0.0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,297.0,870.0,0.0,0.0,Mercedes-Benz Stadium,indoor,FieldTurf,37.2
Khalil Herbert,CHI,RB,2023,12,20,31,134.0,11.17,1,6.7,1.0,0,0.1,0.01,132,611.0,50.92,2,0.02,0.0,1,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,357.0,801.0,6.0,217.0,Soldier Field,cold,Grass,112.5
Khalil Shakir,BUF,WR,2023,16,39,45,611.0,38.19,2,15.67,0.0,0,0.09,0.1,1,10.0,0.62,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.05,0.0,0.0,0,597.0,1100.0,5.0,148.0,New Era Field,cold,FieldTurf,113.1
Kirk Cousins,MIN,QB,2023,8,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,25.0,3.12,0,0.0,2.0,0,216,311,0.69,2331.0,291.38,18,0,0.06,5.0,17.0,4,512.0,523.0,4.0,102.0,U.S. Bank Stadium,indoor,FieldTurf,149.74
Ko Kieft,TB,TE,2023,3,1,5,2.0,0.67,1,2.0,0.0,0,0.05,0.08,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0,48.0,206.0,0.0,0.0,Raymond James Stadium,warm,Grass,7.2
Kwamie Lassiter,CIN,WR,2023,1,1,1,2.0,2.0,0,2.0,0.0,0,0.02,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Paul Brown Stadium,cold,FieldTurf,1.2
Kyle Allen,BUF,QB,2023,6,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,-13.0,-2.17,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,36.0,424.0,0.0,0.0,New Era Field,cold,FieldTurf,-1.3
Kyle Philips,TEN,WR,2023,8,15,22,181.0,22.62,0,12.07,0.0,0,0.1,0.09,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,129.0,474.0,5.0,163.0,Nissan Stadium,moderate,Grass,33.1
Kyle Pitts,ATL,TE,2023,17,53,90,667.0,39.24,3,12.58,0.0,0,0.18,0.27,1,-4.0,-0.24,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,728.0,1137.0,1.0,4.0,Mercedes-Benz Stadium,indoor,FieldTurf,137.3
Kyle Trask,TB,QB,2023,2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,-1.0,-0.5,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3.0,117.0,2.0,64.0,Raymond James Stadium,warm,Grass,-0.1
Kylen Granson,IND,TE,2023,15,30,50,368.0,24.53,1,12.27,0.0,0,0.11,0.11,1,2.0,0.13,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.03,0.0,0.0,0,496.0,1016.0,0.0,0.0,Lucas Oil Stadium,indoor,FieldTurf,73.0
Kyler Murray,ARI,QB,2023,8,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,44,244.0,30.5,3,0.07,5.0,0,176,268,0.66,1799.0,224.88,10,1,0.04,5.0,18.0,2,538.0,548.0,1.0,1.0,State Farm Stadium,indoor,Grass,146.36
Kyren Williams,LA,RB,2023,12,32,48,206.0,17.17,3,6.44,1.0,0,0.11,0.0,228,1144.0,95.33,12,0.05,2.0,1,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,678.0,830.0,5.0,164.0,Los Angeles Memorial Coliseum,warm,Grass,255.0
La'Mical Perine,KC,RB,2023,2,3,5,33.0,16.5,0,11.0,0.0,0,0.09,0.01,22,77.0,38.5,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,51.0,117.0,4.0,120.0,Arrowhead Stadium,cold,Grass,14.0
Lamar Jackson,BAL,QB,2023,16,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,148,821.0,51.31,5,0.03,4.0,0,307,457,0.67,3678.0,229.88,24,1,0.05,7.0,37.0,7,1040.0,1069.0,1.0,32.0,M&T Bank Stadium,moderate,FieldTurf,331.22
Laquon Treadwell,BAL,WR,2023,1,1,3,16.0,16.0,0,16.0,0.0,0,0.12,0.24,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,43.0,58.0,1.0,23.0,M&T Bank Stadium,moderate,FieldTurf,2.6
Latavius Murray,BUF,RB,2023,15,17,22,119.0,7.93,0,7.0,1.0,0,0.04,0.01,79,300.0,20.0,4,0.05,0.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,344.0,1038.0,0.0,0.0,New Era Field,cold,FieldTurf,82.9
Laviska Shenault,CAR,WR,2023,8,10,10,60.0,7.5,0,6.0,0.0,0,0.04,-0.02,12,55.0,6.88,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Bank of America Stadium,moderate,Grass,21.5
Lawrence Cager,NYG,TE,2023,3,4,5,36.0,12.0,1,9.0,0.0,0,0.06,0.04,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0,36.0,186.0,0.0,0.0,MetLife Stadium,cold,FieldTurf,13.6
Leonard Fournette,BUF,RB,2023,2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,12,40.0,20.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,26.0,133.0,1.0,4.0,New Era Field,cold,FieldTurf,4.0
Lil'Jordan Humphrey,DEN,WR,2023,11,13,19,162.0,14.73,3,12.46,0.0,0,0.06,0.08,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.23,0.0,0.0,0,310.0,698.0,0.0,0.0,Empower Field at Mile High,cold,Grass,47.2
Logan Thomas,WAS,TE,2023,16,55,78,496.0,31.0,4,9.02,2.0,1,0.13,0.12,1,2.0,0.12,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.07,0.0,0.0,0,732.0,1061.0,0.0,0.0,FedEx Field,moderate,Grass,126.8
Logan Woodside,ATL,QB,2023,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.0,6.0,0,0.0,0.0,0,3,4,0.75,27.0,27.0,0,0,0.0,1.0,1.0,0,10.0,63.0,7.0,249.0,Mercedes-Benz Stadium,indoor,FieldTurf,-0.32
Lucas Krull,DEN,TE,2023,7,8,14,95.0,13.57,1,11.88,0.0,0,0.06,0.08,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.12,0.0,0.0,0,166.0,469.0,0.0,0.0,Empower Field at Mile High,cold,Grass,23.5
Luke Farrell,JAX,TE,2023,9,13,15,155.0,17.22,0,11.92,0.0,0,0.05,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,257.0,644.0,5.0,145.0,TIAA Bank Field,warm,Grass,28.5
Luke Musgrave,GB,TE,2023,11,34,46,352.0,32.0,1,10.35,0.0,0,0.13,0.11,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.03,0.0,0.0,0,468.0,711.0,2.0,42.0,Lambeau Field,cold,Grass,75.2
Luke Schoonmaker,DAL,TE,2023,11,8,15,65.0,5.91,2,8.12,0.0,0,0.04,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0,259.0,789.0,2.0,58.0,AT&T Stadium,indoor,FieldTurf,26.5
Lynn Bowden,NO,WR,2023,8,11,16,83.0,10.38,0,7.55,0.0,0,0.07,0.04,5,32.0,4.0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,80.0,Mercedes-Benz Superdome,indoor,FieldTurf,22.5
