name,team,position,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface
Chase Edmonds,TB,RB,12.0,24.666666666666668,31.333333333333332,177.16666666666666,14.401666666666666,0.8333333333333334,7.445,0.3333333333333333,0.0,0.075,0.006666666666666667,68.0,308.6666666666667,26.528333333333332,1.5,0.021666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021666666666666667,0.0,0.0,0.0,278.6666666666667,802.5,4.0,134.0,Raymond James Stadium,warm,Grass
Chigoziem Okonkwo,TEN,TE,16.0,43.0,61.5,489.0,30.53,2.0,11.92,0.0,0.5,0.14500000000000002,0.14,2.5,4.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,522.0,994.5,4.0,143.0,Nissan Stadium,moderate,Grass
Chris Conley,SF,WR,10.333333333333334,24.444444444444443,41.0,324.6666666666667,33.553333333333335,1.6666666666666667,14.173333333333334,0.5555555555555556,0.1111111111111111,0.12444444444444445,0.1811111111111111,0.1111111111111111,0.3333333333333333,0.02333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05222222222222222,0.0,0.0,0.0,462.22222222222223,677.2222222222222,3.0,76.0,Levi's Stadium,moderate,Grass
Chris Evans,CIN,RB,4.666666666666667,6.333333333333333,7.333333333333333,62.666666666666664,8.426666666666668,1.0,7.246666666666667,0.0,0.0,0.04,0.023333333333333334,6.333333333333333,29.666666666666668,6.853333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,33.666666666666664,296.0,6.0,202.0,Paul Brown Stadium,cold,FieldTurf
Chris Godwin,TB,WR,14.714285714285714,75.57142857142857,107.71428571428571,955.7142857142857,65.72285714285714,4.857142857142857,13.081428571428571,1.2857142857142858,0.5714285714285714,0.19142857142857145,0.19571428571428573,1.7142857142857142,10.285714285714286,0.6628571428571429,0.2857142857142857,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.06857142857142857,0.0,0.0,0.0,767.2857142857143,1022.2857142857143,3.0,84.0,Raymond James Stadium,warm,Grass
Chris Manhertz,DEN,TE,4.125,3.25,5.0,33.875,8.91375,0.25,11.375,0.0,0.0,0.0375,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08375,0.0,0.0,0.0,101.625,266.25,0.0,0.0,Empower Field at Mile High,cold,Grass
Chris Moore,TEN,WR,10.857142857142858,19.714285714285715,30.714285714285715,244.28571428571428,20.201428571428572,1.1428571428571428,11.31,0.14285714285714285,0.0,0.08285714285714287,0.10857142857142857,2.2857142857142856,9.857142857142858,0.7342857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047142857142857146,0.0,0.0,0.0,339.7142857142857,737.8571428571429,4.0,107.0,Nissan Stadium,moderate,Grass
Chris Olave,NO,WR,15.5,79.5,128.5,1082.5,69.83,4.5,13.690000000000001,1.0,1.0,0.255,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,710.5,1020.5,1.0,11.0,Mercedes-Benz Superdome,indoor,FieldTurf
Chris Rodriguez,WAS,RB,8.0,2.0,2.0,12.0,1.5,0.0,6.0,0.0,0.0,0.01,0.0,51.0,247.0,30.88,2.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,94.0,533.0,0.0,0.0,FedEx Field,moderate,Grass
Christian Kirk,JAX,WR,14.166666666666666,62.833333333333336,96.0,799.5,56.098333333333336,4.666666666666667,12.806666666666667,0.3333333333333333,0.16666666666666666,0.20833333333333334,0.2833333333333333,3.6666666666666665,26.5,2.013333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.25,5.333333333333333,0.31,0.0,0.0,0.07166666666666667,0.0,0.0,0.0,763.8333333333334,955.1666666666666,2.0,47.0,TIAA Bank Field,warm,Grass
